Kind	Id	Http	AcCount	Status	Title	TrIds	TestIds	AcTexts
fr	FR-MCP-HOSTILEREVIEW-001	200	4	pending	FR-MCP-HOSTILEREVIEW-001			AC1|sat=False|Request includes target type, mode, scope statement, artifact links, requester identity, workspace identity, optional AC list. || AC2|sat=False|Serialized request JSON greater than 1048576 bytes is rejected with no queue row. || AC3|sat=False|Authenticated workspace scope: foreign workspace is 403 and no queue row. || AC4|sat=False|Valid request creates a QueueItem with stable id and status queued.
fr	FR-MCP-HOSTILEREVIEW-002	200	3	pending	FR-MCP-HOSTILEREVIEW-002			AC1|sat=False|Missing link produces a diagnostic, not silent omit. || AC2|sat=False|Unauthorized or stale or ambiguous link produces a diagnostic, not silent omit. || AC3|sat=False|Successful resolve stores the resolved artifact identity and hash when available.
fr	FR-MCP-HOSTILEREVIEW-003	200	3	pending	FR-MCP-HOSTILEREVIEW-003			AC1|sat=False|Execution row records model string, effort level, agent identity, plugin/source surface. || AC2|sat=False|Execution row records prompt template id and version, run id, start/end UTC. || AC3|sat=False|Token/runtime metadata stored when provided; omitted with diagnostic when not provided, not fabricated.
fr	FR-MCP-HOSTILEREVIEW-004	200	3	pending	FR-MCP-HOSTILEREVIEW-004			AC1|sat=False|Findings distinguish defects, risks, missing tests, unclear requirements, insufficient disclosure, out-of-scope, uncertainty. || AC2|sat=False|Verdicts are AGREE, DISAGREE, or UNKNOWN only. || AC3|sat=False|Request-quality scores disclosure, scope clarity, objective clarity, confidence, enough-context as explicit fields.
fr	FR-MCP-HOSTILEREVIEW-005	200	3	pending	FR-MCP-HOSTILEREVIEW-005			AC1|sat=False|Query with each dimension returns only matching runs. || AC2|sat=False|Combined filters AND. || AC3|sat=False|Empty match is empty list, not error.
fr	FR-MCP-HOSTILEREVIEW-006	200	3	pending	FR-MCP-HOSTILEREVIEW-006			AC1|sat=False|Completing a review does not edit product files, requirements, or TODOs. || AC2|sat=False|REST, REPL, Director, plugin skill expose submit/status/get/query only. || AC3|sat=False|No hidden repair/apply endpoint is registered in this TODO.
fr	FR-MCP-HYGIENE-001	200	3	pending	FR-MCP-HYGIENE-001			AC1|sat=False|Result contract has rule code/version, severity, entity kind, workspace identity, record IDs, evidence, remediation, run timestamp, duration, summary counts. || AC2|sat=False|Clean workspace produces zero findings. || AC3|sat=False|Registry is versioned; unknown rule code is not silently skipped.
fr	FR-MCP-HYGIENE-002	200	5	pending	FR-MCP-HYGIENE-002			AC1|sat=False|FR/TR (and TEST unless excluded by a documented rule) with no AC rows is a finding with record id and evidence. || AC2|sat=False|TR mapped to no FR is a finding. || AC3|sat=False|FR lacking required TR or TEST coverage is a finding. || AC4|sat=False|TEST mapped to no FR is a finding. || AC5|sat=False|Broken or duplicate mappings are findings.
fr	FR-MCP-HYGIENE-003	200	6	pending	FR-MCP-HYGIENE-003			AC1|sat=False|done=true with any incomplete implementation task is a finding. || AC2|sat=False|done=false with all implementation tasks complete is a finding. || AC3|sat=False|done=true without doneSummary is a finding. || AC4|sat=False|remaining text that contradicts completion is a finding. || AC5|sat=False|missing dependency target ids are findings. || AC6|sat=False|missing referenced requirement IDs are findings.
fr	FR-MCP-HYGIENE-004	200	6	pending	FR-MCP-HYGIENE-004			AC1|sat=False|Turns in_progress more than 48h after the authoritative timestamp (injectable UTC clock) are findings. || AC2|sat=False|Triage reports in live non-terminal states from the domain model are findings; processing failure is distinct from pending. || AC3|sat=False|Threshold override must be positive, at most 168h, authenticated, and recorded on the run. || AC4|sat=False|Unauthenticated validate is rejected. || AC5|sat=False|Cancellation is honored. || AC6|sat=False|Large workspaces paginate rather than unbounded load.
